epoch,train_f1,train_loss,valid_acc,valid_f1,valid_loss,dur
1,0.48888888888888893,0.7146697044372559,0.004340277777777778,0.3553175419178118,0.7135192924075656,7.844791412353516
2,0.5407407407407407,0.6860339045524597,0.06111111111111111,0.34430611280651585,0.7030967447492812,7.340965509414673
3,0.6868686868686869,0.6747123599052429,0.07569444444444444,0.3880647655364933,0.7088233643107944,7.364355564117432
4,0.6571428571428571,0.656559944152832,0.08680555555555555,0.4815072362854768,0.693973794248369,7.390079021453857
5,0.6555555555555556,0.6593117117881775,0.10295138888888888,0.4437262082543938,0.7014250622855293,7.423248052597046
6,0.7833333333333333,0.6286035180091858,0.10503472222222222,0.43553705156860856,0.7011908014615377,7.483219146728516
7,0.7685185185185185,0.6053627729415894,0.10902777777777778,0.44440104651018614,0.6967075069745382,7.531002521514893
8,0.8486772486772486,0.5846545100212097,0.10989583333333333,0.44480900754493735,0.6934046785036723,7.537233829498291
9,0.832010582010582,0.5977742671966553,0.10260416666666666,0.45123444019503006,0.6907057364781698,7.532862663269043
10,0.6944444444444443,0.6178192496299744,0.10798611111111112,0.4482479930211121,0.6904014322492812,7.577010154724121
11,0.8796296296296297,0.5755306482315063,0.10746527777777778,0.44909530671788844,0.6902680701679653,7.610647678375244
12,0.8023809523809525,0.561449408531189,0.10833333333333334,0.4495499945378556,0.6894192576408387,7.603510618209839
13,0.8257575757575758,0.5745577812194824,0.10590277777777778,0.4511235616598555,0.6883936127026876,7.609652757644653
14,0.7685185185185185,0.5951759219169617,0.10729166666666666,0.45577964300633833,0.6878574305110507,7.5993812084198
15,0.7857142857142857,0.5726547241210938,0.10815972222222223,0.45459298964223943,0.6879114402665032,7.627618789672852
16,0.888888888888889,0.5465315580368042,0.10833333333333334,0.4533078775339732,0.6882902410295274,7.672013759613037
17,0.7857142857142857,0.5622517466545105,0.10815972222222223,0.4544673172937496,0.6880165709389581,7.66715407371521
18,0.832010582010582,0.5548467040061951,0.10798611111111112,0.4544109932390117,0.688371996084849,7.661624431610107
19,0.9153439153439153,0.568059504032135,0.1076388888888889,0.45533277713819015,0.6882817771699693,7.6570611000061035
20,0.8796296296296297,0.5455448031425476,0.1078125,0.4565893505368916,0.6880465957853529,7.657927751541138
